year,duration,avg_vote,votes,metascore,reviews_from_users,reviews_from_critics,weighted_average_vote,total_votes,mean_vote,median_vote,votes_10,votes_9,votes_8,votes_7,votes_6,votes_5,votes_4,votes_3,votes_2,votes_1,allgenders_0age_avg_vote,allgenders_0age_votes,allgenders_18age_avg_vote,allgenders_18age_votes,allgenders_30age_avg_vote,allgenders_30age_votes,allgenders_45age_avg_vote,allgenders_45age_votes,males_allages_avg_vote,males_allages_votes,males_0age_avg_vote,males_0age_votes,males_18age_avg_vote,males_18age_votes,males_30age_avg_vote,males_30age_votes,males_45age_avg_vote,males_45age_votes,females_allages_avg_vote,females_allages_votes,females_0age_avg_vote,females_0age_votes,females_18age_avg_vote,females_18age_votes,females_30age_avg_vote,females_30age_votes,females_45age_avg_vote,females_45age_votes,top1000_voters_rating,top1000_voters_votes,us_voters_rating,us_voters_votes,non_us_voters_rating,non_us_voters_votes
1997,5906,336.3,8799123,2830.0,19643.0,5907.0,336.3,8799123,342.1,343.0,1027809,1156448,2106992,2059235,1191380,586970,282567,156589,98699,132434,344.30000000000007,4817.0,343.4999999999999,1735323.0,332.3,3860062.0,331.30000000000007,1048775.0,334.09999999999997,5693317.0,327.50000000000006,3434.0,342.2,1332960.0,331.2,3227922.0,329.5,876372.0,341.30000000000007,1186008.0,380.79999999999995,903.0,346.40000000000003,378754.0,336.19999999999993,588107.0,340.7999999999999,156891.0,318.80000000000007,30497.0,336.7000000000001,1727072.0,332.2999999999999,4016863.0
1998,5966,357.50000000000006,8723567,2932.0,24946.0,6247.0,357.50000000000006,8723567,364.00000000000006,368.0,1180562,1395741,2025788,1928831,1128606,526055,235226,122523,75282,104953,360.99999999999994,4100.0,363.49999999999994,1750076.0,354.3,3867241.0,350.5,978995.0,355.09999999999997,5622398.0,352.9,3095.0,361.39999999999986,1341175.0,352.79999999999995,3199591.0,348.49999999999994,815817.0,359.9000000000001,1218618.0,386.0000000000001,678.0,365.29999999999984,384998.0,356.7,623365.0,359.20000000000005,148671.0,333.0,29878.0,357.8999999999999,1759342.0,354.4,3917616.0
1999,7436,452.1000000000001,12017632,4022.0,44279.0,9424.0,452.1000000000001,12017632,460.20000000000005,463.0,1901526,2096369,2821762,2386423,1313982,660115,328545,189836,125683,193391,470.5999999999999,7250.0,462.70000000000005,2457835.0,447.80000000000007,5141978.0,444.6999999999999,1373810.0,447.90000000000003,7492763.0,457.8000000000001,5224.0,458.6,1833516.0,444.7000000000001,4169322.0,442.1,1127959.0,457.70000000000005,1819439.0,499.7000000000001,1305.0,465.69999999999993,589479.0,451.79999999999995,911976.0,457.5000000000001,224555.0,422.29999999999995,36663.0,453.1,2467560.0,447.7,5258267.0
2000,6140,364.1999999999999,8069299,2877.0,27646.0,7520.0,364.1999999999999,8069299,372.3999999999999,378.0,925681,1040107,1741188,1884145,1201120,596774,280403,151234,99049,149598,363.70000000000005,4135.0,373.19999999999993,1740890.0,359.4999999999999,3564567.0,358.6000000000001,842319.0,360.70000000000005,5117817.0,350.9000000000001,3074.0,369.0,1292497.0,357.3,2905608.0,356.1999999999999,694885.0,370.09999999999997,1240635.0,401.09999999999997,699.0,377.50000000000006,425590.0,364.49999999999994,619397.0,370.8999999999999,134630.0,340.49999999999994,29270.0,363.2999999999999,1588255.0,360.7999999999999,3719952.0
2001,7022,415.29999999999995,8754096,3233.0,30527.0,8638.0,415.29999999999995,8754096,425.6000000000001,430.0,995854,1126488,2050716,1918831,1265134,665090,316773,168827,103319,143064,412.1000000000001,4860.0,426.79999999999995,1966944.0,410.70000000000005,3818716.0,407.5,886669.0,412.6000000000001,5552056.0,389.8,3399.0,423.80000000000007,1457763.0,408.6000000000001,3112647.0,404.70000000000005,730495.0,421.0,1359502.0,461.1000000000001,980.0,429.6,483434.0,414.0000000000001,663962.0,419.20000000000005,142261.0,382.69999999999993,31929.0,414.3999999999999,1708020.0,411.49999999999983,4026722.0
2002,6378,396.40000000000015,7508845,3387.0,33271.0,8861.0,396.40000000000015,7508845,405.4,407.0,645399,675313,1591941,1947796,1285691,658981,304017,162891,101164,135652,399.1000000000001,4723.0,404.90000000000003,1656994.0,390.5000000000001,3291166.0,391.2,798120.0,392.30000000000007,4834563.0,396.40000000000015,3542.0,401.50000000000006,1249222.0,388.3000000000001,2714832.0,388.30000000000007,663793.0,403.09999999999997,1099027.0,421.7,763.0,409.00000000000006,386154.0,395.40000000000003,539215.0,405.0000000000001,121416.0,368.3,29875.0,396.5999999999999,1513307.0,391.3,3476413.0
2003,5492,311.19999999999993,6965740,2478.0,27198.0,7568.0,311.19999999999993,6965740,320.99999999999994,315.0,700639,683205,1372416,1589329,1135685,636039,325242,187582,124722,210881,317.90000000000003,4106.0,318.2,1628787.0,305.3,3067999.0,307.0,693334.0,307.6,4521415.0,305.99999999999994,3035.0,313.9,1218188.0,303.30000000000007,2536152.0,304.90000000000003,574273.0,319.69999999999993,1048536.0,350.00000000000006,759.0,326.00000000000006,390951.0,312.89999999999986,498962.0,319.90000000000003,108324.0,290.19999999999993,26532.0,308.3,1381345.0,308.3,3284288.0
2004,6796,413.4,11586053,3427.0,35633.0,10139.0,413.4,11586053,425.40000000000003,426.0,1380167,1407861,2544336,2698161,1735699,853415,395415,216693,139401,214905,417.7000000000001,8049.0,420.2000000000001,2843869.0,407.69999999999993,5033100.0,407.2999999999999,1065170.0,407.6000000000001,7335847.0,404.8999999999999,5765.0,414.49999999999994,2063123.0,404.09999999999997,4069873.0,404.6,872482.0,420.50000000000006,1926622.0,451.5999999999999,1561.0,425.4000000000001,742388.0,414.4,909492.0,419.50000000000006,176731.0,384.49999999999994,34014.0,413.29999999999984,2202243.0,408.30000000000007,5474016.0
2005,6549,388.1,7926129,3234.0,30031.0,9805.0,388.1,7926129,400.60000000000014,406.0,805282,774628,1545309,1917388,1367093,717761,342883,183769,111736,160280,401.20000000000005,4128.0,393.90000000000015,1850633.0,384.50000000000017,3625339.0,384.49999999999994,784652.0,383.70000000000016,5158046.0,389.20000000000005,3136.0,388.8,1356042.0,381.8000000000002,2948167.0,380.79999999999995,645479.0,395.79999999999984,1296924.0,450.4,670.0,399.40000000000003,471557.0,390.5999999999999,641182.0,396.20000000000005,127901.0,360.0,29797.0,387.5000000000001,1617008.0,384.4999999999999,3827949.0
2006,7621,439.30000000000024,8876350,3685.0,31281.0,11718.0,439.30000000000024,8876350,453.2999999999998,459.0,1055730,1100063,1897412,2002871,1310442,699039,339263,184808,115447,171275,454.60000000000014,5638.0,444.2,2180083.0,434.20000000000016,3971734.0,437.3,849228.0,434.00000000000006,5808349.0,442.3999999999999,4155.0,438.6,1613702.0,430.40000000000015,3254612.0,432.9000000000001,693278.0,449.09999999999997,1429896.0,489.6999999999999,996.0,452.2000000000001,539510.0,444.7,678856.0,454.49999999999994,143981.0,407.60000000000014,32697.0,438.40000000000003,1774875.0,434.0000000000003,4270778.0
2007,8572,506.59999999999997,13412953,4290.0,35356.0,16151.0,506.59999999999997,13412953,521.1,518.0,1508324,1606272,3015754,3216933,1935564,932789,443396,253925,175219,324777,511.6,8360.0,513.4000000000001,3406686.0,502.4000000000002,6024452.0,499.6,1197983.0,503.2,8900315.0,505.3,6228.0,509.0,2548940.0,500.4000000000001,4987260.0,496.4999999999999,988576.0,512.8999999999999,2084910.0,527.9000000000001,1394.0,516.6000000000001,815984.0,507.2999999999997,979427.0,515.2,192181.0,470.69999999999993,39523.0,505.60000000000014,2638082.0,502.6000000000001,6552222.0
2008,7799,463.0,11151790,3851.0,26110.0,14168.0,463.0,11151790,476.50000000000017,481.0,1203784,1213898,2308610,2572017,1743807,891574,430656,246153,174233,367058,469.2000000000001,9010.0,470.4999999999999,3015339.0,458.0,4863199.0,453.5,934737.0,457.40000000000003,7267450.0,458.4,6478.0,463.99999999999994,2205828.0,453.7,3963448.0,449.59999999999997,768750.0,470.89999999999986,1868123.0,495.89999999999986,1632.0,475.49999999999994,770149.0,465.0,851016.0,469.2999999999999,152278.0,421.99999999999994,34434.0,460.0,2073971.0,458.80000000000007,5454707.0
2009,7876,473.3999999999999,10933567,3778.0,26064.0,16994.0,473.3999999999999,10933567,484.80000000000007,492.0,1202317,1234761,2264744,2462146,1666885,927425,466752,260848,169240,278449,485.4,8413.0,479.4000000000002,3076644.0,468.9000000000001,4722383.0,467.09999999999997,923153.0,469.4,6999733.0,470.79999999999995,5821.0,475.50000000000006,2156281.0,466.4999999999999,3778011.0,463.69999999999993,754476.0,480.4000000000001,2036779.0,526.1,1793.0,484.50000000000006,880745.0,475.00000000000006,894337.0,481.6,154532.0,434.2000000000001,35522.0,471.0000000000002,1889615.0,470.2,5487692.0
2010,9885,589.4999999999999,15001046,4844.0,30423.0,22695.0,589.4999999999999,15001046,605.5,608.0,1496844,1679174,3158739,3569709,2436597,1240374,582237,314099,201951,321322,609.4999999999998,11354.0,601.3999999999997,4467567.0,581.9000000000002,6209462.0,581.8,1232489.0,581.9999999999999,9466701.0,595.7999999999996,7512.0,592.8999999999997,3096779.0,576.2999999999998,4912228.0,576.4999999999998,999012.0,602.3999999999997,2910811.0,637.4999999999999,2701.0,609.8999999999999,1310371.0,593.3999999999995,1223444.0,604.6000000000001,213676.0,540.6000000000001,43670.0,588.7999999999997,2389533.0,584.6,7426209.0
2011,10297,603.1999999999999,13621647,5097.0,28618.0,25484.0,603.1999999999999,13621647,621.9999999999995,625.0,1129451,1169649,2658113,3509138,2439029,1252662,602154,328267,208827,324357,614.3,9505.0,615.6,3967807.0,593.6999999999995,5779841.0,595.8000000000001,1183523.0,595.2999999999997,8936076.0,600.4000000000002,6871.0,609.2,2881468.0,588.8999999999997,4641270.0,590.4,964239.0,615.6999999999998,2436233.0,661.6,1720.0,624.1,1033683.0,604.3000000000001,1064437.0,618.1999999999999,199304.0,552.6000000000001,41766.0,607.0000000000001,2156744.0,593.3,6671840.0
2012,8525,521.4,13866420,4367.0,25354.0,22467.0,521.4,13866420,542.8,547.0,1700737,1770800,3100361,3309216,1994032,944439,428840,227583,143106,247306,528.6999999999999,11435.0,533.4000000000002,4241616.0,512.9,5214726.0,509.90000000000003,1084135.0,515.6999999999999,8681633.0,517.4,7868.0,527.9000000000001,3047654.0,508.69999999999993,4163452.0,505.7,874677.0,533.3000000000001,2506666.0,550.6,2382.0,540.3000000000001,1133334.0,523.8000000000002,979156.0,531.1000000000001,190226.0,469.8,34617.0,521.6999999999999,1966204.0,514.5999999999999,6219789.0
2013,10479,623.8999999999997,16564510,5214.0,34362.0,28540.0,623.8999999999997,16564510,639.7000000000003,649.0,1604858,1866300,3705472,4149463,2649439,1247696,561947,301612,186751,290972,633.7000000000002,13731.0,637.1,4794367.0,614.9,6172539.0,612.8999999999999,1373656.0,619.1999999999999,10662797.0,620.4999999999999,9934.0,633.0000000000001,3639554.0,611.6000000000001,5069009.0,608.3,1125749.0,636.8000000000002,2559689.0,658.7000000000002,2485.0,644.9999999999999,1086396.0,626.0999999999999,1017022.0,634.6999999999999,223189.0,571.6,42838.0,625.4000000000002,2208487.0,615.1999999999998,7346210.0
2014,11887,700.5000000000002,14872709,5793.0,35712.0,26227.0,700.5000000000002,14872709,722.6000000000004,727.0,1670673,1881368,3307519,3459775,2207520,1081130,503314,273499,171817,316094,709.4999999999998,16498.0,714.8000000000003,4433977.0,685.9,5106538.0,687.2999999999998,1136207.0,691.7000000000002,9092173.0,705.9,11253.0,707.3999999999999,3279882.0,680.1000000000003,4134217.0,680.5000000000001,921809.0,719.5999999999999,2403256.0,756.8000000000001,3437.0,729.3000000000003,1084687.0,704.3000000000004,897746.0,718.6,193291.0,632.6000000000003,40800.0,701.9000000000001,1857404.0,688.5000000000001,6247180.0
2015,9737,565.3000000000001,10132454,4635.0,28617.0,21080.0,565.3000000000001,10132454,582.6999999999997,590.0,1029152,1141092,2202661,2436678,1589856,782786,369475,204376,130628,245750,576.5999999999999,15116.0,575.4,2824120.0,556.2000000000002,3405578.0,556.4000000000001,801651.0,558.1000000000001,6025922.0,552.9000000000001,10352.0,568.2,2091393.0,550.5000000000001,2766375.0,552.2,657202.0,582.5999999999999,1549115.0,627.2,3329.0,589.7999999999998,684132.0,572.6000000000001,587264.0,581.0000000000002,129415.0,506.6,31220.0,567.8999999999999,1257397.0,556.0,4147946.0
2016,8788,518.0000000000001,9996738,4352.0,28859.0,20627.0,518.0000000000001,9996738,532.9999999999998,542.0,1058235,1179678,2284774,2412864,1505350,730704,336317,185260,114411,189145,531.2,17270.0,523.3,2631017.0,508.79999999999995,3221104.0,512.3,771467.0,511.20000000000005,5888990.0,517.8000000000001,12244.0,518.3,2005509.0,505.4999999999999,2658493.0,508.3999999999999,640010.0,529.3,1355331.0,569.1999999999997,3374.0,531.4000000000002,575409.0,521.5000000000001,511820.0,532.1999999999999,116572.0,468.79999999999995,28965.0,519.4999999999999,1208524.0,508.30000000000007,3939853.0
2017,7407,436.4,6712305,3653.0,33322.0,15860.0,436.4,6712305,446.70000000000005,453.0,786788,845253,1521071,1544731,946265,463064,216637,124500,83899,180097,442.70000000000005,18625.0,442.40000000000003,1763271.0,429.79999999999995,2080839.0,431.20000000000005,527062.0,431.3,3856412.0,435.7,12667.0,436.4,1318636.0,426.0,1693170.0,427.7000000000001,429609.0,451.8000000000001,957076.0,471.8000000000001,3959.0,455.7000000000001,402833.0,445.20000000000005,352149.0,451.40000000000015,86788.0,388.4999999999999,21213.0,439.6999999999999,863047.0,428.7,2583014.0
